"","id","identifier"
"285",285,"shroomish"
"286",286,"breloom"
"287",287,"slakoth"
"288",288,"vigoroth"
"289",289,"slaking"
"290",290,"nincada"
"291",291,"ninjask"
"292",292,"shedinja"
"293",293,"whismur"
"294",294,"loudred"
"295",295,"exploud"
"296",296,"makuhita"
"297",297,"hariyama"
"298",298,"azurill"
"299",299,"nosepass"
"300",300,"skitty"
"301",301,"delcatty"
"302",302,"sableye"
"303",303,"mawile"
"304",304,"aron"
"305",305,"lairon"
"306",306,"aggron"
"307",307,"meditite"
"308",308,"medicham"
"309",309,"electrike"
"310",310,"manectric"
"311",311,"plusle"
"312",312,"minun"
"313",313,"volbeat"
"314",314,"illumise"
"315",315,"roselia"
"316",316,"gulpin"
"317",317,"swalot"
"318",318,"carvanha"
"319",319,"sharpedo"
"320",320,"wailmer"
"321",321,"wailord"
"322",322,"numel"
"323",323,"camerupt"
"324",324,"torkoal"
"325",325,"spoink"
"326",326,"grumpig"
"327",327,"spinda"
"328",328,"trapinch"
"329",329,"vibrava"
"330",330,"flygon"
"331",331,"cacnea"
"332",332,"cacturne"
"333",333,"swablu"
"334",334,"altaria"
"335",335,"zangoose"
"336",336,"seviper"
"337",337,"lunatone"
"338",338,"solrock"
"339",339,"barboach"
"340",340,"whiscash"
"341",341,"corphish"
"342",342,"crawdaunt"
"343",343,"baltoy"
"344",344,"claydol"
"345",345,"lileep"
"346",346,"cradily"
"347",347,"anorith"
"348",348,"armaldo"
"349",349,"feebas"
"350",350,"milotic"
"351",351,"castform"
"352",352,"kecleon"
"353",353,"shuppet"
"354",354,"banette"
"355",355,"duskull"
"356",356,"dusclops"
"357",357,"tropius"
"358",358,"chimecho"
"359",359,"absol"
"360",360,"wynaut"
"361",361,"snorunt"
"362",362,"glalie"
"363",363,"spheal"
"364",364,"sealeo"
"365",365,"walrein"
"366",366,"clamperl"
"367",367,"huntail"
"368",368,"gorebyss"
"369",369,"relicanth"
"370",370,"luvdisc"
"371",371,"bagon"
"372",372,"shelgon"
"373",373,"salamence"
"374",374,"beldum"
"375",375,"metang"
"376",376,"metagross"
"377",377,"regirock"
"378",378,"regice"
"379",379,"registeel"
"380",380,"latias"
"381",381,"latios"
"382",382,"kyogre"
"383",383,"groudon"
"384",384,"rayquaza"
"385",385,"jirachi"
"386",386,"deoxys-normal"
"387",387,"turtwig"
"388",388,"grotle"
"389",389,"torterra"
"390",390,"chimchar"
"391",391,"monferno"
"392",392,"infernape"
"393",393,"piplup"
"394",394,"prinplup"
"395",395,"empoleon"
"396",396,"starly"
"397",397,"staravia"
"398",398,"staraptor"
"399",399,"bidoof"
"400",400,"bibarel"
"401",401,"kricketot"
"402",402,"kricketune"
"403",403,"shinx"
"404",404,"luxio"
"405",405,"luxray"
"406",406,"budew"
"407",407,"roserade"
"408",408,"cranidos"
"409",409,"rampardos"
"410",410,"shieldon"
"411",411,"bastiodon"
"412",412,"burmy"
"413",413,"wormadam-plant"
"414",414,"mothim"
"415",415,"combee"
"416",416,"vespiquen"
"417",417,"pachirisu"
"418",418,"buizel"
"419",419,"floatzel"
"420",420,"cherubi"
"421",421,"cherrim"
"422",422,"shellos"
"423",423,"gastrodon"
"424",424,"ambipom"
"425",425,"drifloon"
"426",426,"drifblim"
"427",427,"buneary"
"428",428,"lopunny"
"429",429,"mismagius"
"430",430,"honchkrow"
"431",431,"glameow"
"432",432,"purugly"
"433",433,"chingling"
"434",434,"stunky"
"435",435,"skuntank"
"436",436,"bronzor"
"437",437,"bronzong"
"438",438,"bonsly"
"439",439,"mime-jr"
"440",440,"happiny"
"441",441,"chatot"
"442",442,"spiritomb"
"443",443,"gible"
"444",444,"gabite"
"445",445,"garchomp"
"446",446,"munchlax"
"447",447,"riolu"
"448",448,"lucario"
"449",449,"hippopotas"
"450",450,"hippowdon"
"451",451,"skorupi"
"452",452,"drapion"
"453",453,"croagunk"
"454",454,"toxicroak"
"455",455,"carnivine"
"456",456,"finneon"
"457",457,"lumineon"
"458",458,"mantyke"
"459",459,"snover"
"460",460,"abomasnow"
"461",461,"weavile"
"462",462,"magnezone"
"463",463,"lickilicky"
"464",464,"rhyperior"
"465",465,"tangrowth"
"466",466,"electivire"
"467",467,"magmortar"
"468",468,"togekiss"
"469",469,"yanmega"
"470",470,"leafeon"
"471",471,"glaceon"
"472",472,"gliscor"
"473",473,"mamoswine"
"474",474,"porygon-z"
"475",475,"gallade"
"476",476,"probopass"
"477",477,"dusknoir"
"478",478,"froslass"
"479",479,"rotom"
"480",480,"uxie"
"481",481,"mesprit"
"482",482,"azelf"
"483",483,"dialga"
"484",484,"palkia"
"485",485,"heatran"
"486",486,"regigigas"
"487",487,"giratina-altered"
"488",488,"cresselia"
"489",489,"phione"
"490",490,"manaphy"
"491",491,"darkrai"
"492",492,"shaymin-land"
"493",493,"arceus"
"494",494,"victini"
"495",495,"snivy"
"496",496,"servine"
"497",497,"serperior"
"498",498,"tepig"
"499",499,"pignite"
"500",500,"emboar"
"501",501,"oshawott"
"502",502,"dewott"
"503",503,"samurott"
"504",504,"patrat"
"505",505,"watchog"
"506",506,"lillipup"
"507",507,"herdier"
"508",508,"stoutland"
"509",509,"purrloin"
"510",510,"liepard"
"511",511,"pansage"
"512",512,"simisage"
"513",513,"pansear"
"514",514,"simisear"
"515",515,"panpour"
"516",516,"simipour"
"517",517,"munna"
"518",518,"musharna"
"519",519,"pidove"
"520",520,"tranquill"
"521",521,"unfezant"
"522",522,"blitzle"
"523",523,"zebstrika"
"524",524,"roggenrola"
"525",525,"boldore"
"526",526,"gigalith"
"527",527,"woobat"
"528",528,"swoobat"
"529",529,"drilbur"
"530",530,"excadrill"
"531",531,"audino"
"532",532,"timburr"
"533",533,"gurdurr"
"534",534,"conkeldurr"
"535",535,"tympole"
"536",536,"palpitoad"
"537",537,"seismitoad"
"538",538,"throh"
"539",539,"sawk"
"540",540,"sewaddle"
"541",541,"swadloon"
"542",542,"leavanny"
"543",543,"venipede"
"544",544,"whirlipede"
"545",545,"scolipede"
"546",546,"cottonee"
"547",547,"whimsicott"
"548",548,"petilil"
"549",549,"lilligant"
"550",550,"basculin-red-striped"
"551",551,"sandile"
"552",552,"krokorok"
"553",553,"krookodile"
"554",554,"darumaka"
"555",555,"darmanitan-standard"
"556",556,"maractus"
"557",557,"dwebble"
"558",558,"crustle"
"559",559,"scraggy"
"560",560,"scrafty"
"561",561,"sigilyph"
"562",562,"yamask"
"563",563,"cofagrigus"
"564",564,"tirtouga"
"565",565,"carracosta"
"566",566,"archen"
"567",567,"archeops"
"568",568,"trubbish"
"569",569,"garbodor"
"570",570,"zorua"
"571",571,"zoroark"
"572",572,"minccino"
"573",573,"cinccino"
"574",574,"gothita"
"575",575,"gothorita"
"576",576,"gothitelle"
"577",577,"solosis"
"578",578,"duosion"
"579",579,"reuniclus"
"580",580,"ducklett"
"581",581,"swanna"
"582",582,"vanillite"
"583",583,"vanillish"
"584",584,"vanilluxe"
"585",585,"deerling"
"586",586,"sawsbuck"
"587",587,"emolga"
"588",588,"karrablast"
"589",589,"escavalier"
"590",590,"foongus"
"591",591,"amoonguss"
"592",592,"frillish"
"593",593,"jellicent"
"594",594,"alomomola"
"595",595,"joltik"
"596",596,"galvantula"
"597",597,"ferroseed"
"598",598,"ferrothorn"
"599",599,"klink"
"600",600,"klang"
"601",601,"klinklang"
"602",602,"tynamo"
"603",603,"eelektrik"
"604",604,"eelektross"
"605",605,"elgyem"
"606",606,"beheeyem"
"607",607,"litwick"
"608",608,"lampent"
"609",609,"chandelure"
"610",610,"axew"
"611",611,"fraxure"
"612",612,"haxorus"
"613",613,"cubchoo"
"614",614,"beartic"
"615",615,"cryogonal"
"616",616,"shelmet"
"617",617,"accelgor"
"618",618,"stunfisk"
"619",619,"mienfoo"
"620",620,"mienshao"
"621",621,"druddigon"
"622",622,"golett"
"623",623,"golurk"
"624",624,"pawniard"
"625",625,"bisharp"
"626",626,"bouffalant"
"627",627,"rufflet"
"628",628,"braviary"
"629",629,"vullaby"
"630",630,"mandibuzz"
"631",631,"heatmor"
"632",632,"durant"
"633",633,"deino"
"634",634,"zweilous"
"635",635,"hydreigon"
"636",636,"larvesta"
"637",637,"volcarona"
"638",638,"cobalion"
"639",639,"terrakion"
"640",640,"virizion"
"641",641,"tornadus-incarnate"
"642",642,"thundurus-incarnate"
"643",643,"reshiram"
"644",644,"zekrom"
"645",645,"landorus-incarnate"
"646",646,"kyurem"
"647",647,"keldeo-ordinary"
"648",648,"meloetta-aria"
"649",649,"genesect"
"650",650,"chespin"
"651",651,"quilladin"
"652",652,"chesnaught"
"653",653,"fennekin"
"654",654,"braixen"
"655",655,"delphox"
"656",656,"froakie"
"657",657,"frogadier"
"658",658,"greninja"
"659",659,"bunnelby"
"660",660,"diggersby"
"661",661,"fletchling"
"662",662,"fletchinder"
"663",663,"talonflame"
"664",664,"scatterbug"
"665",665,"spewpa"
"666",666,"vivillon"
"667",667,"litleo"
"668",668,"pyroar"
"669",669,"flabebe"
"670",670,"floette"
"671",671,"florges"
"672",672,"skiddo"
"673",673,"gogoat"
"674",674,"pancham"
"675",675,"pangoro"
"676",676,"furfrou"
"677",677,"espurr"
"678",678,"meowstic-male"
"679",679,"honedge"
"680",680,"doublade"
"681",681,"aegislash-shield"
"682",682,"spritzee"
"683",683,"aromatisse"
"684",684,"swirlix"
"685",685,"slurpuff"
"686",686,"inkay"
"687",687,"malamar"
"688",688,"binacle"
"689",689,"barbaracle"
"690",690,"skrelp"
"691",691,"dragalge"
"692",692,"clauncher"
"693",693,"clawitzer"
"694",694,"helioptile"
"695",695,"heliolisk"
"696",696,"tyrunt"
"697",697,"tyrantrum"
"698",698,"amaura"
"699",699,"aurorus"
"700",700,"sylveon"
"701",701,"hawlucha"
"702",702,"dedenne"
"703",703,"carbink"
"704",704,"goomy"
"705",705,"sliggoo"
"706",706,"goodra"
"707",707,"klefki"
"708",708,"phantump"
"709",709,"trevenant"
"710",710,"pumpkaboo-average"
"711",711,"gourgeist-average"
"712",712,"bergmite"
"713",713,"avalugg"
"714",714,"noibat"
"715",715,"noivern"
"716",716,"xerneas"
"717",717,"yveltal"
"718",718,"zygarde-50"
"719",719,"diancie"
"720",720,"hoopa"
"721",721,"volcanion"
"722",722,"rowlet"
"723",723,"dartrix"
"724",724,"decidueye"
"725",725,"litten"
"726",726,"torracat"
"727",727,"incineroar"
"728",728,"popplio"
"729",729,"brionne"
"730",730,"primarina"
"731",731,"pikipek"
"732",732,"trumbeak"
"733",733,"toucannon"
"734",734,"yungoos"
"735",735,"gumshoos"
"736",736,"grubbin"
"737",737,"charjabug"
"738",738,"vikavolt"
"739",739,"crabrawler"
"740",740,"crabominable"
"741",741,"oricorio-baile"
"742",742,"cutiefly"
"743",743,"ribombee"
"744",744,"rockruff"
"745",745,"lycanroc-midday"
"746",746,"wishiwashi-solo"
"747",747,"mareanie"
"748",748,"toxapex"
"749",749,"mudbray"
"750",750,"mudsdale"
"751",751,"dewpider"
"752",752,"araquanid"
"753",753,"fomantis"
"754",754,"lurantis"
"755",755,"morelull"
"756",756,"shiinotic"
"757",757,"salandit"
"758",758,"salazzle"
"759",759,"stufful"
"760",760,"bewear"
"761",761,"bounsweet"
"762",762,"steenee"
"763",763,"tsareena"
"764",764,"comfey"
"765",765,"oranguru"
"766",766,"passimian"
"767",767,"wimpod"
"768",768,"golisopod"
"769",769,"sandygast"
"770",770,"palossand"
"771",771,"pyukumuku"
"772",772,"type-null"
"773",773,"silvally"
"774",774,"minior-red-meteor"
"775",775,"komala"
"776",776,"turtonator"
"777",777,"togedemaru"
"778",778,"mimikyu-disguised"
"779",779,"bruxish"
"780",780,"drampa"
"781",781,"dhelmise"
"782",782,"jangmo-o"
"783",783,"hakamo-o"
"784",784,"kommo-o"
"785",785,"tapu-koko"
"786",786,"tapu-lele"
"787",787,"tapu-bulu"
"788",788,"tapu-fini"
"789",789,"cosmog"
"790",790,"cosmoem"
"791",791,"solgaleo"
"792",792,"lunala"
"793",793,"nihilego"
"794",794,"buzzwole"
"795",795,"pheromosa"
"796",796,"xurkitree"
"797",797,"celesteela"
"798",798,"kartana"
"799",799,"guzzlord"
"800",800,"necrozma"
"801",801,"magearna"
"802",802,"marshadow"
"803",803,"poipole"
"804",804,"naganadel"
"805",805,"stakataka"
"806",806,"blacephalon"
"807",807,"zeraora"
"808",808,"meltan"
"809",809,"melmetal"
"810",810,"grookey"
"811",811,"thwackey"
"812",812,"rillaboom"
"813",813,"scorbunny"
"814",814,"raboot"
"815",815,"cinderace"
"816",816,"sobble"
"817",817,"drizzile"
"818",818,"inteleon"
"819",819,"skwovet"
"820",820,"greedent"
"821",821,"rookidee"
"822",822,"corvisquire"
"823",823,"corviknight"
"824",824,"blipbug"
"825",825,"dottler"
"826",826,"orbeetle"
"827",827,"nickit"
"828",828,"thievul"
"829",829,"gossifleur"
"830",830,"eldegoss"
"831",831,"wooloo"
"832",832,"dubwool"
"833",833,"chewtle"
"834",834,"drednaw"
"835",835,"yamper"
"836",836,"boltund"
"837",837,"rolycoly"
"838",838,"carkol"
"839",839,"coalossal"
"840",840,"applin"
"841",841,"flapple"
"842",842,"appletun"
"843",843,"silicobra"
"844",844,"sandaconda"
"845",845,"cramorant"
"846",846,"arrokuda"
"847",847,"barraskewda"
"848",848,"toxel"
"849",849,"toxtricity-amped"
"850",850,"sizzlipede"
"851",851,"centiskorch"
"852",852,"clobbopus"
"853",853,"grapploct"
"854",854,"sinistea"
"855",855,"polteageist"
"856",856,"hatenna"
"857",857,"hattrem"
"858",858,"hatterene"
"859",859,"impidimp"
"860",860,"morgrem"
"861",861,"grimmsnarl"
"862",862,"obstagoon"
"863",863,"perrserker"
"864",864,"cursola"
"865",865,"sirfetchd"
"866",866,"mr-rime"
"867",867,"runerigus"
"868",868,"milcery"
"869",869,"alcremie"
"870",870,"falinks"
"871",871,"pincurchin"
"872",872,"snom"
"873",873,"frosmoth"
"874",874,"stonjourner"
"875",875,"eiscue-ice"
"876",876,"indeedee-male"
"877",877,"morpeko-full-belly"
"878",878,"cufant"
"879",879,"copperajah"
"880",880,"dracozolt"
"881",881,"arctozolt"
"882",882,"dracovish"
"883",883,"arctovish"
"884",884,"duraludon"
"885",885,"dreepy"
"886",886,"drakloak"
"887",887,"dragapult"
"888",888,"zacian"
"889",889,"zamazenta"
"890",890,"eternatus"
"891",891,"kubfu"
"892",892,"urshifu-single-strike"
"893",893,"zarude"
"894",894,"regieleki"
"895",895,"regidrago"
"896",896,"glastrier"
"897",897,"spectrier"
"898",898,"calyrex"
"899",10001,"deoxys-attack"
"900",10002,"deoxys-defense"
"901",10003,"deoxys-speed"
"902",10004,"wormadam-sandy"
"903",10005,"wormadam-trash"
"904",10006,"shaymin-sky"
"905",10007,"giratina-origin"
"906",10008,"rotom-heat"
"907",10009,"rotom-wash"
"908",10010,"rotom-frost"
"909",10011,"rotom-fan"
"910",10012,"rotom-mow"
"911",10013,"castform-sunny"
"912",10014,"castform-rainy"
"913",10015,"castform-snowy"
"914",10016,"basculin-blue-striped"
"915",10017,"darmanitan-zen"
"916",10018,"meloetta-pirouette"
"917",10019,"tornadus-therian"
"918",10020,"thundurus-therian"
"919",10021,"landorus-therian"
"920",10022,"kyurem-black"
"921",10023,"kyurem-white"
"922",10024,"keldeo-resolute"
"923",10025,"meowstic-female"
"924",10026,"aegislash-blade"
"925",10027,"pumpkaboo-small"
"926",10028,"pumpkaboo-large"
"927",10029,"pumpkaboo-super"
"928",10030,"gourgeist-small"
"929",10031,"gourgeist-large"
"930",10032,"gourgeist-super"
"931",10033,"venusaur-mega"
"932",10034,"charizard-mega-x"
"933",10035,"charizard-mega-y"
"934",10036,"blastoise-mega"
"935",10037,"alakazam-mega"
"936",10038,"gengar-mega"
"937",10039,"kangaskhan-mega"
"938",10040,"pinsir-mega"
"939",10041,"gyarados-mega"
"940",10042,"aerodactyl-mega"
"941",10043,"mewtwo-mega-x"
"942",10044,"mewtwo-mega-y"
"943",10045,"ampharos-mega"
"944",10046,"scizor-mega"
"945",10047,"heracross-mega"
"946",10048,"houndoom-mega"
"947",10049,"tyranitar-mega"
"948",10050,"blaziken-mega"
"949",10051,"gardevoir-mega"
"950",10052,"mawile-mega"
"951",10053,"aggron-mega"
"952",10054,"medicham-mega"
"953",10055,"manectric-mega"
"954",10056,"banette-mega"
"955",10057,"absol-mega"
"956",10058,"garchomp-mega"
"957",10059,"lucario-mega"
"958",10060,"abomasnow-mega"
"959",10061,"floette-eternal"
"960",10062,"latias-mega"
"961",10063,"latios-mega"
"962",10064,"swampert-mega"
"963",10065,"sceptile-mega"
"964",10066,"sableye-mega"
"965",10067,"altaria-mega"
"966",10068,"gallade-mega"
"967",10069,"audino-mega"
"968",10070,"sharpedo-mega"
"969",10071,"slowbro-mega"
"970",10072,"steelix-mega"
"971",10073,"pidgeot-mega"
"972",10074,"glalie-mega"
"973",10075,"diancie-mega"
"974",10076,"metagross-mega"
"975",10077,"kyogre-primal"
"976",10078,"groudon-primal"
"977",10079,"rayquaza-mega"
"978",10080,"pikachu-rock-star"
"979",10081,"pikachu-belle"
"980",10082,"pikachu-pop-star"
"981",10083,"pikachu-phd"
"982",10084,"pikachu-libre"
"983",10085,"pikachu-cosplay"
"984",10086,"hoopa-unbound"
"985",10087,"camerupt-mega"
"986",10088,"lopunny-mega"
"987",10089,"salamence-mega"
"988",10090,"beedrill-mega"
"989",10091,"rattata-alola"
"990",10092,"raticate-alola"
"991",10093,"raticate-totem-alola"
"992",10094,"pikachu-original-cap"
"993",10095,"pikachu-hoenn-cap"
"994",10096,"pikachu-sinnoh-cap"
"995",10097,"pikachu-unova-cap"
"996",10098,"pikachu-kalos-cap"
"997",10099,"pikachu-alola-cap"
"998",10100,"raichu-alola"
"999",10101,"sandshrew-alola"
"1000",10102,"sandslash-alola"
"1001",10103,"vulpix-alola"
"1002",10104,"ninetales-alola"
"1003",10105,"diglett-alola"
"1004",10106,"dugtrio-alola"
"1005",10107,"meowth-alola"
"1006",10108,"persian-alola"
"1007",10109,"geodude-alola"
"1008",10110,"graveler-alola"
"1009",10111,"golem-alola"
"1010",10112,"grimer-alola"
"1011",10113,"muk-alola"
"1012",10114,"exeggutor-alola"
"1013",10115,"marowak-alola"
"1014",10116,"greninja-battle-bond"
"1015",10117,"greninja-ash"
"1016",10118,"zygarde-10-power-construct"
"1017",10119,"zygarde-50-power-construct"
"1018",10120,"zygarde-complete"
"1019",10121,"gumshoos-totem"
"1020",10122,"vikavolt-totem"
"1021",10123,"oricorio-pom-pom"
"1022",10124,"oricorio-pau"
"1023",10125,"oricorio-sensu"
"1024",10126,"lycanroc-midnight"
"1025",10127,"wishiwashi-school"
"1026",10128,"lurantis-totem"
"1027",10129,"salazzle-totem"
"1028",10130,"minior-orange-meteor"
"1029",10131,"minior-yellow-meteor"
"1030",10132,"minior-green-meteor"
"1031",10133,"minior-blue-meteor"
"1032",10134,"minior-indigo-meteor"
"1033",10135,"minior-violet-meteor"
"1034",10136,"minior-red"
"1035",10137,"minior-orange"
"1036",10138,"minior-yellow"
"1037",10139,"minior-green"
"1038",10140,"minior-blue"
"1039",10141,"minior-indigo"
"1040",10142,"minior-violet"
"1041",10143,"mimikyu-busted"
"1042",10144,"mimikyu-totem-disguised"
"1043",10145,"mimikyu-totem-busted"
"1044",10146,"kommo-o-totem"
"1045",10147,"magearna-original"
"1046",10148,"pikachu-partner-cap"
"1047",10149,"marowak-totem"
"1048",10150,"ribombee-totem"
"1049",10151,"rockruff-own-tempo"
"1050",10152,"lycanroc-dusk"
"1051",10153,"araquanid-totem"
"1052",10154,"togedemaru-totem"
"1053",10155,"necrozma-dusk"
"1054",10156,"necrozma-dawn"
"1055",10157,"necrozma-ultra"
"1056",10158,"pikachu-starter"
"1057",10159,"eevee-starter"
"1058",10160,"pikachu-world-cap"
"1059",10161,"meowth-galar"
"1060",10162,"ponyta-galar"
"1061",10163,"rapidash-galar"
"1062",10164,"slowpoke-galar"
"1063",10165,"slowbro-galar"
"1064",10166,"farfetchd-galar"
"1065",10167,"weezing-galar"
"1066",10168,"mr-mime-galar"
"1067",10169,"articuno-galar"
"1068",10170,"zapdos-galar"
"1069",10171,"moltres-galar"
"1070",10172,"slowking-galar"
"1071",10173,"corsola-galar"
"1072",10174,"zigzagoon-galar"
"1073",10175,"linoone-galar"
"1074",10176,"darumaka-galar"
"1075",10177,"darmanitan-galar-standard"
"1076",10178,"darmanitan-galar-zen"
"1077",10179,"yamask-galar"
"1078",10180,"stunfisk-galar"
"1079",10181,"zygarde-10"
"1080",10182,"cramorant-gulping"
"1081",10183,"cramorant-gorging"
"1082",10184,"toxtricity-low-key"
"1083",10185,"eiscue-noice"
"1084",10186,"indeedee-female"
"1085",10187,"morpeko-hangry"
"1086",10188,"zacian-crowned"
"1087",10189,"zamazenta-crowned"
"1088",10190,"eternatus-eternamax"
"1089",10191,"urshifu-rapid-strike"
"1090",10192,"zarude-dada"
"1091",10193,"calyrex-ice"
"1092",10194,"calyrex-shadow"
